frequency,accel_z
20,-0.215354
20,-0.062213
20,0.0
20,-0.210568
20,-0.210568
20,-0.057428
20,-0.191426
20,-0.105284
20,-0.229711
20,-0.009571
20,-0.129212
20,0.038285
20,-0.07657
20,-0.196211
20,-0.105284
20,-0.244068
20,-0.162712
20,-0.157926
30,-0.052642
30,-0.162712
30,-0.153141
30,-0.253639
30,-0.148355
30,-0.086142
30,-0.066999
30,-0.196211
30,-0.205783
30,-0.153141
30,-0.057428
30,-0.196211
30,-0.0335
30,-0.129212
30,-0.105284
30,-0.11007
30,-0.291924
30,-0.210568
30,-0.138784
40,-0.066999
40,-0.105284
40,-0.138784
40,-0.172283
40,-0.133998
40,0.043071
40,-0.258425
40,-0.162712
40,-0.081356
40,-0.301496
40,-0.215354
40,-0.205783
40,-0.215354
40,-0.11007
40,0.004786
40,-0.29671
40,-0.124427
40,-0.057428
50,-0.133998
50,-0.244068
50,0.009571
50,-0.157926
50,-0.248854
50,-0.0335
50,-0.191426
50,-0.162712
50,0.004786
50,-0.224925
50,-0.181855
50,0.0
50,-0.095713
50,-0.229711
50,-0.095713
50,-0.157926
50,-0.200997
50,-0.047856
50,-0.114855
60,-0.253639
60,0.071785
60,-0.023928
60,-0.378066
60,-0.114855
60,-0.258425
60,-0.148355
60,-0.047856
60,-0.057428
60,-0.162712
60,-0.066999
60,-0.062213
60,-0.325424
60,-0.215354
60,-0.200997
60,-0.267996
60,-0.143569
60,-0.153141
60,-0.40678
70,0.066999
70,-0.129212
70,-0.196211
70,0.143569
70,-0.258425
70,0.086142
70,-0.129212
70,-0.244068
70,0.358923
70,-0.334995
70,-0.100499
70,-0.090927
70,-0.378066
70,-0.014357
70,-0.22014
70,-0.291924
70,0.301496
70,-0.172283
80,-0.119641
80,-0.210568
80,0.038285
80,-0.239282
80,-0.157926
80,-0.29671
80,-0.167498
80,-0.200997
80,-0.11007
80,0.028714
80,-0.29671
80,-0.153141
80,-0.26321
80,-0.062213
80,-0.315853
80,0.081356
80,-0.057428
80,-0.157926
80,-0.306281
90,-0.138784
90,-0.090927
90,-0.181855
90,-0.368495
90,0.043071
90,-0.167498
90,-0.004786
90,-0.191426
90,-0.579063
90,-0.047856
90,-0.138784
90,0.157926
90,-0.062213
90,-0.26321
90,-0.33021
90,-0.095713
90,-0.143569
90,-0.07657
90,-0.023928
100,-0.378066
100,0.028714
100,-0.038285
100,-0.0335
100,-0.028714
100,-0.291924
100,-0.306281
100,-0.052642
100,0.081356
100,-0.086142
100,-0.478565
100,-0.062213
100,-0.210568
100,0.086142
100,-0.234497
100,-0.564706
100,-0.095713
100,-0.023928
110,0.066999
110,-0.224925
110,-0.325424
110,-0.057428
110,-0.588634
110,-0.043071
110,0.143569
110,-0.0335
110,-0.488136
110,-0.306281
110,0.0335
110,-0.028714
110,-0.162712
110,-0.445065
110,-0.119641
110,0.100499
110,-0.119641
110,-0.569492
110,-0.009571
120,0.148355
120,0.028714
120,-0.598206
120,-0.181855
120,-0.0335
120,-0.028714
120,-0.622134
120,-0.277567
120,0.320638
120,-0.009571
120,-0.650848
120,-0.028714
120,0.143569
120,-0.162712
120,-0.665205
120,-0.004786
120,0.105284
120,-0.119641
130,-0.40678
130,-0.244068
130,0.177069
130,-0.282353
130,-0.40678
130,-0.095713
130,0.004786
130,-0.382852
130,-0.942772
130,-0.019143
130,0.607777
130,-0.023928
130,-0.684347
130,-0.272782
130,-0.07657
130,-0.497707
130,-0.004786
130,0.363709
130,-0.18664
140,-1.043271
140,-0.191426
140,0.579063
140,0.052642
140,-0.435494
140,-0.047856
140,-0.157926
140,-0.866202
140,-0.732204
140,-0.923629
140,0.253639
140,-0.339781
140,-0.923629
140,0.454636
140,0.674776
140,-0.66999
140,0.105284
140,0.368495
150,-0.693919
150,-1.081556
150,0.358923
150,-0.07657
150,-0.78006
150,0.631705
150,0.827917
150,-0.722632
150,-0.29671
150,0.454636
150,-0.26321
150,-1.493121
150,0.631705
150,0.492921
150,-1.397408
150,0.488136
150,0.416351
150,-1.095913
150,0.22014
160,0.765703
160,-1.316052
160,0.138784
160,1.292124
160,-1.196411
160,-0.488136
160,0.574277
160,-0.746561
160,-0.990629
160,1.095913
160,-0.579063
160,0.636491
160,-1.579263
160,0.861416
160,0.421137
160,-1.895116
160,0.799203
160,0.177069
160,-1.971686
170,0.794417
170,0.177069
170,-1.708475
170,0.794417
170,0.244068
170,-1.37348
170,0.976272
170,0.014357
170,-1.569692
170,0.961915
170,-0.177069
170,-1.89033
170,0.66999
170,-1.435694
170,0.909273
170,-0.315853
170,-1.115055
170,1.182054
180,-0.019143
180,-1.129412
180,1.536192
180,-0.789632
180,-0.267996
180,0.985843
180,-1.07677
180,0.200997
180,0.349352
180,-1.272982
180,0.564706
180,-0.157926
180,-1.158126
180,1.071985
180,-0.765703
180,-0.66999
180,1.29691
180,-1.579263
180,-0.014357
190,0.650848
190,-1.665405
190,0.114855
190,-0.172283
190,-0.22014
190,0.229711
190,-1.100698
190,1.038485
190,-0.095713
190,-1.062413
190,1.612763
190,-0.612563
190,-0.555135
190,0.880559
190,-0.713061
190,0.641276
190,-1.067199
190,0.770489
200,-0.564706
200,-0.679562
200,0.492921
200,-1.430908
200,0.85663
200,-0.684347
200,-0.459422
200,0.267996
200,-1.330409
200,1.024128
200,-0.89013
200,-0.306281
200,0.320638
200,-1.124627
200,0.894916
200,-0.794417
200,0.114855
200,-1.765903
200,0.129212
210,2.244468
210,-1.627119
210,-0.301496
210,-3.029314
210,1.737189
210,-1.756332
210,0.086142
210,1.914258
210,0.9667
210,2.742175
210,-2.694318
210,0.746561
210,-1.129412
210,-0.057428
210,-0.435494
210,0.392423
210,1.770689
210,-0.172283
220,-0.162712
220,0.071785
220,-0.722632
220,0.689133
220,-0.942772
220,0.842273
220,-0.842273
220,0.526421
220,-0.564706
220,-0.191426
220,-0.047856
220,-0.48335
220,0.378066
220,-1.0002
220,0.803988
220,-1.0002
220,0.51685
220,-0.722632
220,0.124427
230,-0.07657
230,-0.047856
230,0.0335
230,-0.957129
230,0.760918
230,-0.602991
230,0.272782
230,-0.550349
230,0.760918
230,-1.191626
230,0.827917
230,-0.899701
230,0.397209
230,-0.880559
230,0.650848
230,-0.880559
230,0.526421
230,-0.713061
230,0.425922
240,-0.947558
240,0.62692
240,-0.48335
240,0.047856
240,-0.358923
240,-0.07657
240,-0.315853
240,0.148355
240,-0.086142
240,-0.023928
240,-0.354138
240,-0.071785
240,-0.057428
240,-0.277567
240,0.038285
240,-0.339781
240,0.047856
240,-0.306281
250,0.133998
250,-0.430708
250,0.148355
250,-0.478565
250,-0.023928
250,-0.488136
250,0.29671
250,-0.636491
250,0.334995
250,-0.70349
250,0.473779
250,-0.899701
250,0.51685
250,-0.832702
250,0.430708
250,-0.545563
250,0.019143
250,-0.33021
250,-0.052642
260,-0.071785
260,-0.282353
260,-0.057428
260,-0.540778
260,0.244068
260,0.473779
260,-0.746561
260,0.492921
260,-0.512064
260,0.18664
260,-0.301496
260,-0.291924
260,0.205783
260,-0.650848
260,0.368495
260,-0.837488
260,0.550349
260,-0.732204
260,0.33021
270,-0.454636
270,-0.004786
270,-0.028714
270,-0.454636
